"","SampleNumber","Species","Island","CulmenLenght","CulmenDepth","FlipperLength","BodyMass","Sex","Delta15N","Delta13C"
"1",1,"Adelie Penguin (Pygoscelis adeliae)","Torgersen",39.1,18.7,181,3750,"MALE",NA,NA
"2",2,"Adelie Penguin (Pygoscelis adeliae)","Torgersen",39.5,17.4,186,3800,"FEMALE",8.94956,-24.69454
"3",3,"Adelie Penguin (Pygoscelis adeliae)","Torgersen",40.3,18,195,3250,"FEMALE",8.36821,-25.33302
"4",5,"Adelie Penguin (Pygoscelis adeliae)","Torgersen",36.7,19.3,193,3450,"FEMALE",8.76651,-25.32426
"5",6,"Adelie Penguin (Pygoscelis adeliae)","Torgersen",39.3,20.6,190,3650,"MALE",8.66496,-25.29805
"6",7,"Adelie Penguin (Pygoscelis adeliae)","Torgersen",38.9,17.8,181,3625,"FEMALE",9.18718,-25.21799
"7",8,"Adelie Penguin (Pygoscelis adeliae)","Torgersen",39.2,19.6,195,4675,"MALE",9.4606,-24.89958
"8",13,"Adelie Penguin (Pygoscelis adeliae)","Torgersen",41.1,17.6,182,3200,"FEMALE",NA,NA
"9",14,"Adelie Penguin (Pygoscelis adeliae)","Torgersen",38.6,21.2,191,3800,"MALE",NA,NA
"10",15,"Adelie Penguin (Pygoscelis adeliae)","Torgersen",34.6,21.1,198,4400,"MALE",8.55583,-25.22588
"11",16,"Adelie Penguin (Pygoscelis adeliae)","Torgersen",36.6,17.8,185,3700,"FEMALE",NA,NA
"12",17,"Adelie Penguin (Pygoscelis adeliae)","Torgersen",38.7,19,195,3450,"FEMALE",9.18528,-25.06691
"13",18,"Adelie Penguin (Pygoscelis adeliae)","Torgersen",42.5,20.7,197,4500,"MALE",8.67538,-25.13993
"14",19,"Adelie Penguin (Pygoscelis adeliae)","Torgersen",34.4,18.4,184,3325,"FEMALE",8.47827,-25.23319
"15",20,"Adelie Penguin (Pygoscelis adeliae)","Torgersen",46,21.5,194,4200,"MALE",9.11616,-24.77227
"16",21,"Adelie Penguin (Pygoscelis adeliae)","Biscoe",37.8,18.3,174,3400,"FEMALE",8.73762,-25.09383
"17",22,"Adelie Penguin (Pygoscelis adeliae)","Biscoe",37.7,18.7,180,3600,"MALE",8.66271,-25.0639
"18",23,"Adelie Penguin (Pygoscelis adeliae)","Biscoe",35.9,19.2,189,3800,"FEMALE",9.22286,-25.03474
"19",24,"Adelie Penguin (Pygoscelis adeliae)","Biscoe",38.2,18.1,185,3950,"MALE",8.43423,-25.22664
"20",25,"Adelie Penguin (Pygoscelis adeliae)","Biscoe",38.8,17.2,180,3800,"MALE",9.63954,-25.29856
"21",26,"Adelie Penguin (Pygoscelis adeliae)","Biscoe",35.3,18.9,187,3800,"FEMALE",9.21292,-24.3613
"22",27,"Adelie Penguin (Pygoscelis adeliae)","Biscoe",40.6,18.6,183,3550,"MALE",8.93997,-25.36288
"23",28,"Adelie Penguin (Pygoscelis adeliae)","Biscoe",40.5,17.9,187,3200,"FEMALE",8.08138,-25.49448
"24",29,"Adelie Penguin (Pygoscelis adeliae)","Biscoe",37.9,18.6,172,3150,"FEMALE",8.38404,-25.19837
"25",30,"Adelie Penguin (Pygoscelis adeliae)","Biscoe",40.5,18.9,180,3950,"MALE",8.90027,-25.11609
"26",31,"Adelie Penguin (Pygoscelis adeliae)","Dream",39.5,16.7,178,3250,"FEMALE",9.69756,-25.11223
"27",32,"Adelie Penguin (Pygoscelis adeliae)","Dream",37.2,18.1,178,3900,"MALE",9.72764,-25.0102
"28",33,"Adelie Penguin (Pygoscelis adeliae)","Dream",39.5,17.8,188,3300,"FEMALE",9.66523,-25.0602
"29",34,"Adelie Penguin (Pygoscelis adeliae)","Dream",40.9,18.9,184,3900,"MALE",8.79665,-25.14591
"30",35,"Adelie Penguin (Pygoscelis adeliae)","Dream",36.4,17,195,3325,"FEMALE",9.17847,-25.23061
"31",36,"Adelie Penguin (Pygoscelis adeliae)","Dream",39.2,21.1,196,4150,"MALE",9.15308,-25.03469
"32",37,"Adelie Penguin (Pygoscelis adeliae)","Dream",38.8,20,190,3950,"MALE",9.18985,-25.12255
"33",38,"Adelie Penguin (Pygoscelis adeliae)","Dream",42.2,18.5,180,3550,"FEMALE",8.04787,-25.49523
"34",39,"Adelie Penguin (Pygoscelis adeliae)","Dream",37.6,19.3,181,3300,"FEMALE",9.41131,-25.04169
"35",40,"Adelie Penguin (Pygoscelis adeliae)","Dream",39.8,19.1,184,4650,"MALE",NA,NA
"36",41,"Adelie Penguin (Pygoscelis adeliae)","Dream",36.5,18,182,3150,"FEMALE",9.68933,-24.4228
"37",42,"Adelie Penguin (Pygoscelis adeliae)","Dream",40.8,18.4,195,3900,"MALE",NA,NA
"38",43,"Adelie Penguin (Pygoscelis adeliae)","Dream",36,18.5,186,3100,"FEMALE",9.50772,-25.03492
"39",44,"Adelie Penguin (Pygoscelis adeliae)","Dream",44.1,19.7,196,4400,"MALE",9.2372,-24.52698
"40",45,"Adelie Penguin (Pygoscelis adeliae)","Dream",37,16.9,185,3000,"FEMALE",9.36392,-25.01745
"41",46,"Adelie Penguin (Pygoscelis adeliae)","Dream",39.6,18.8,190,4600,"MALE",9.49106,-24.10255
"42",47,"Adelie Penguin (Pygoscelis adeliae)","Dream",41.1,19,182,3425,"MALE",NA,NA
"43",49,"Adelie Penguin (Pygoscelis adeliae)","Dream",36,17.9,190,3450,"FEMALE",9.51784,-25.07683
"44",50,"Adelie Penguin (Pygoscelis adeliae)","Dream",42.3,21.2,191,4150,"MALE",8.87988,-25.18543
"45",51,"Adelie Penguin (Pygoscelis adeliae)","Biscoe",39.6,17.7,186,3500,"FEMALE",8.46616,-26.12989
"46",52,"Adelie Penguin (Pygoscelis adeliae)","Biscoe",40.1,18.9,188,4300,"MALE",8.51362,-26.55602
"47",53,"Adelie Penguin (Pygoscelis adeliae)","Biscoe",35,17.9,190,3450,"FEMALE",8.19539,-26.17213
"48",54,"Adelie Penguin (Pygoscelis adeliae)","Biscoe",42,19.5,200,4050,"MALE",8.48095,-26.3146
"49",55,"Adelie Penguin (Pygoscelis adeliae)","Biscoe",34.5,18.1,187,2900,"FEMALE",8.41837,-26.54718
"50",56,"Adelie Penguin (Pygoscelis adeliae)","Biscoe",41.4,18.6,191,3700,"MALE",8.35396,-26.27853
"51",57,"Adelie Penguin (Pygoscelis adeliae)","Biscoe",39,17.5,186,3550,"FEMALE",8.57199,-26.07188
"52",58,"Adelie Penguin (Pygoscelis adeliae)","Biscoe",40.6,18.8,193,3800,"MALE",8.56674,-25.98843
"53",59,"Adelie Penguin (Pygoscelis adeliae)","Biscoe",36.5,16.6,181,2850,"FEMALE",9.07878,-25.88156
"54",60,"Adelie Penguin (Pygoscelis adeliae)","Biscoe",37.6,19.1,194,3750,"MALE",9.108,-25.89677
"55",61,"Adelie Penguin (Pygoscelis adeliae)","Biscoe",35.7,16.9,185,3150,"FEMALE",8.96472,-26.40943
"56",62,"Adelie Penguin (Pygoscelis adeliae)","Biscoe",41.3,21.1,195,4400,"MALE",8.74802,-26.37809
"57",63,"Adelie Penguin (Pygoscelis adeliae)","Biscoe",37.6,17,185,3600,"FEMALE",8.58063,-26.21569
"58",64,"Adelie Penguin (Pygoscelis adeliae)","Biscoe",41.1,18.2,192,4050,"MALE",8.62264,-26.60023
"59",65,"Adelie Penguin (Pygoscelis adeliae)","Biscoe",36.4,17.1,184,2850,"FEMALE",8.62623,-26.1165
"60",66,"Adelie Penguin (Pygoscelis adeliae)","Biscoe",41.6,18,192,3950,"MALE",8.85562,-26.09294
"61",67,"Adelie Penguin (Pygoscelis adeliae)","Biscoe",35.5,16.2,195,3350,"FEMALE",8.56192,-25.95541
"62",68,"Adelie Penguin (Pygoscelis adeliae)","Biscoe",41.1,19.1,188,4100,"MALE",8.71078,-25.81012
"63",69,"Adelie Penguin (Pygoscelis adeliae)","Torgersen",35.9,16.6,190,3050,"FEMALE",8.47781,-26.07821
"64",70,"Adelie Penguin (Pygoscelis adeliae)","Torgersen",41.8,19.4,198,4450,"MALE",8.86853,-26.06209
